Measure,Country,Sex,Age.Range,Cause,Metric,Year,Rate,GDP_ProCap_USD2010,UnemploymentRate,SuicCrime,Geo_Region,HeatDeaths,HeatWave,CivilWar,ViolentEvent,Unemployment_lag1year,Unemployment_lag2year,GDP_lag1year,GDP_lag2year,Income_2010
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2010,0.530848323,52022.1256,5.210999966,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.56099987,4.234000206,51767.37784,51841.27303,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2011,0.573330913,52567.77724,5.080999851,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.210999966,5.56099987,52022.1256,51767.37784,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2012,0.615490205,53682.04722,5.223999977,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.080999851,5.210999966,52567.77724,52022.1256,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2013,0.616169145,54129.93905,5.662000179,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.223999977,5.080999851,53682.04722,52567.77724,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2014,0.674146194,54679.42018,6.077000141,Not a Crime,East Asia & Pacific,139,Heat Wave,No,No,5.662000179,5.223999977,54129.93905,53682.04722,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2015,0.745978275,55079.89212,6.053999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.077000141,5.662000179,54679.42018,54129.93905,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2016,0.72546514,55728.68446,5.710000038,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.053999901,6.077000141,55079.89212,54679.42018,High
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2017,0.644135203,56095.18632,5.59100008,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.710000038,6.053999901,55728.68446,55079.89212,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1991,3.972399976,35316.53701,9.579000473,Not a Crime,East Asia & Pacific,0,Normal,No,No,,,,,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1992,4.139130524,35034.53266,10.72900009,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.579000473,,35316.53701,,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1993,3.963463128,36091.38898,10.8739996,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.72900009,9.579000473,35034.53266,35316.53701,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1994,4.049324555,37133.6484,9.718999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.8739996,10.72900009,36091.38898,35034.53266,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1995,4.352192104,38095.12953,8.468999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.718999863,10.8739996,37133.6484,36091.38898,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1996,4.669527908,39056.18102,8.505999565,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.468999863,9.718999863,38095.12953,37133.6484,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1997,5.333641175,40153.61225,8.362000465,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.505999565,8.468999863,39056.18102,38095.12953,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1998,5.631214917,41555.94435,7.676000118,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.362000465,8.505999565,40153.61225,39056.18102,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,1999,5.153605908,43168.29246,6.872000217,Not a Crime,East Asia & Pacific,0,Normal,No,No,7.676000118,8.362000465,41555.94435,40153.61225,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2000,4.902527668,44334.39293,6.282999992,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.872000217,7.676000118,43168.29246,41555.94435,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2001,4.269256221,44585.19852,6.742000103,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.282999992,6.872000217,44334.39293,43168.29246,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2002,4.427548095,45806.69447,6.368000031,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.742000103,6.282999992,44585.19852,44334.39293,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2003,4.574687207,46595.90092,5.928999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.368000031,6.742000103,45806.69447,44585.19852,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2004,4.525753236,47926.74866,5.394999981,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.928999901,6.368000031,46595.90092,45806.69447,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2005,4.294604218,48813.88776,5.032000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.394999981,5.928999901,47926.74866,46595.90092,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2006,4.551624318,49443.22553,4.782000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.032000065,5.394999981,48813.88776,47926.74866,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2007,4.636983252,51024.24113,4.376999855,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.782000065,5.032000065,49443.22553,48813.88776,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2008,4.531489855,51841.27303,4.234000206,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.376999855,4.782000065,51024.24113,49443.22553,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2009,4.601605541,51767.37784,5.56099987,Not a Crime,East Asia & Pacific,347,Heat Wave,No,No,4.234000206,4.376999855,51841.27303,51024.24113,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2010,4.749884755,52022.1256,5.210999966,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.56099987,4.234000206,51767.37784,51841.27303,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2011,5.383170214,52567.77724,5.080999851,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.210999966,5.56099987,52022.1256,51767.37784,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2012,5.804031051,53682.04722,5.223999977,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.080999851,5.210999966,52567.77724,52022.1256,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2013,5.436207963,54129.93905,5.662000179,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.223999977,5.080999851,53682.04722,52567.77724,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2014,5.273421143,54679.42018,6.077000141,Not a Crime,East Asia & Pacific,139,Heat Wave,No,No,5.662000179,5.223999977,54129.93905,53682.04722,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2015,5.744634015,55079.89212,6.053999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.077000141,5.662000179,54679.42018,54129.93905,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2016,5.65700853,55728.68446,5.710000038,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.053999901,6.077000141,55079.89212,54679.42018,High
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2017,5.271712109,56095.18632,5.59100008,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.710000038,6.053999901,55728.68446,55079.89212,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1991,6.847609753,35316.53701,9.579000473,Not a Crime,East Asia & Pacific,0,Normal,No,No,,,,,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1992,6.933480189,35034.53266,10.72900009,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.579000473,,35316.53701,,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1993,6.262034958,36091.38898,10.8739996,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.72900009,9.579000473,35034.53266,35316.53701,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1994,6.448780998,37133.6484,9.718999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.8739996,10.72900009,36091.38898,35034.53266,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1995,6.787301838,38095.12953,8.468999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.718999863,10.8739996,37133.6484,36091.38898,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1996,6.680581078,39056.18102,8.505999565,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.468999863,9.718999863,38095.12953,37133.6484,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1997,7.241168729,40153.61225,8.362000465,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.505999565,8.468999863,39056.18102,38095.12953,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1998,7.298816068,41555.94435,7.676000118,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.362000465,8.505999565,40153.61225,39056.18102,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,1999,7.167442207,43168.29246,6.872000217,Not a Crime,East Asia & Pacific,0,Normal,No,No,7.676000118,8.362000465,41555.94435,40153.61225,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2000,6.953525994,44334.39293,6.282999992,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.872000217,7.676000118,43168.29246,41555.94435,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2001,6.267561861,44585.19852,6.742000103,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.282999992,6.872000217,44334.39293,43168.29246,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2002,5.736631805,45806.69447,6.368000031,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.742000103,6.282999992,44585.19852,44334.39293,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2003,5.745042717,46595.90092,5.928999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.368000031,6.742000103,45806.69447,44585.19852,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2004,6.081724922,47926.74866,5.394999981,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.928999901,6.368000031,46595.90092,45806.69447,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2005,5.908527782,48813.88776,5.032000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.394999981,5.928999901,47926.74866,46595.90092,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2006,6.050502156,49443.22553,4.782000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.032000065,5.394999981,48813.88776,47926.74866,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2007,6.043746815,51024.24113,4.376999855,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.782000065,5.032000065,49443.22553,48813.88776,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2008,5.819222785,51841.27303,4.234000206,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.376999855,4.782000065,51024.24113,49443.22553,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2009,6.17242903,51767.37784,5.56099987,Not a Crime,East Asia & Pacific,347,Heat Wave,No,No,4.234000206,4.376999855,51841.27303,51024.24113,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2010,6.686116856,52022.1256,5.210999966,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.56099987,4.234000206,51767.37784,51841.27303,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2011,6.991752512,52567.77724,5.080999851,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.210999966,5.56099987,52022.1256,51767.37784,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2012,6.657859925,53682.04722,5.223999977,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.080999851,5.210999966,52567.77724,52022.1256,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2013,6.551983893,54129.93905,5.662000179,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.223999977,5.080999851,53682.04722,52567.77724,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2014,6.320001924,54679.42018,6.077000141,Not a Crime,East Asia & Pacific,139,Heat Wave,No,No,5.662000179,5.223999977,54129.93905,53682.04722,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2015,5.921380234,55079.89212,6.053999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.077000141,5.662000179,54679.42018,54129.93905,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2016,5.480286045,55728.68446,5.710000038,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.053999901,6.077000141,55079.89212,54679.42018,High
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2017,5.856410685,56095.18632,5.59100008,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.710000038,6.053999901,55728.68446,55079.89212,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1991,8.021847792,35316.53701,9.579000473,Not a Crime,East Asia & Pacific,0,Normal,No,No,,,,,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1992,7.369627518,35034.53266,10.72900009,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.579000473,,35316.53701,,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1993,6.556404652,36091.38898,10.8739996,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.72900009,9.579000473,35034.53266,35316.53701,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1994,7.001306015,37133.6484,9.718999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.8739996,10.72900009,36091.38898,35034.53266,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1995,7.302058899,38095.12953,8.468999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.718999863,10.8739996,37133.6484,36091.38898,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1996,7.85269354,39056.18102,8.505999565,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.468999863,9.718999863,38095.12953,37133.6484,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1997,8.069099223,40153.61225,8.362000465,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.505999565,8.468999863,39056.18102,38095.12953,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1998,8.159019031,41555.94435,7.676000118,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.362000465,8.505999565,40153.61225,39056.18102,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,1999,8.182796951,43168.29246,6.872000217,Not a Crime,East Asia & Pacific,0,Normal,No,No,7.676000118,8.362000465,41555.94435,40153.61225,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2000,8.254144203,44334.39293,6.282999992,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.872000217,7.676000118,43168.29246,41555.94435,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2001,7.495467491,44585.19852,6.742000103,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.282999992,6.872000217,44334.39293,43168.29246,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2002,7.387264455,45806.69447,6.368000031,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.742000103,6.282999992,44585.19852,44334.39293,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2003,7.090608816,46595.90092,5.928999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.368000031,6.742000103,45806.69447,44585.19852,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2004,6.995747363,47926.74866,5.394999981,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.928999901,6.368000031,46595.90092,45806.69447,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2005,6.618347862,48813.88776,5.032000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.394999981,5.928999901,47926.74866,46595.90092,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2006,6.444332368,49443.22553,4.782000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.032000065,5.394999981,48813.88776,47926.74866,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2007,6.678393792,51024.24113,4.376999855,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.782000065,5.032000065,49443.22553,48813.88776,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2008,6.652476847,51841.27303,4.234000206,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.376999855,4.782000065,51024.24113,49443.22553,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2009,7.03832597,51767.37784,5.56099987,Not a Crime,East Asia & Pacific,347,Heat Wave,No,No,4.234000206,4.376999855,51841.27303,51024.24113,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2010,6.712681046,52022.1256,5.210999966,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.56099987,4.234000206,51767.37784,51841.27303,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2011,6.314632934,52567.77724,5.080999851,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.210999966,5.56099987,52022.1256,51767.37784,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2012,5.753854409,53682.04722,5.223999977,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.080999851,5.210999966,52567.77724,52022.1256,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2013,6.046016329,54129.93905,5.662000179,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.223999977,5.080999851,53682.04722,52567.77724,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2014,6.63191567,54679.42018,6.077000141,Not a Crime,East Asia & Pacific,139,Heat Wave,No,No,5.662000179,5.223999977,54129.93905,53682.04722,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2015,6.499039004,55079.89212,6.053999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.077000141,5.662000179,54679.42018,54129.93905,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2016,5.936394997,55728.68446,5.710000038,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.053999901,6.077000141,55079.89212,54679.42018,High
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2017,6.081941963,56095.18632,5.59100008,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.710000038,6.053999901,55728.68446,55079.89212,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1991,7.370601605,35316.53701,9.579000473,Not a Crime,East Asia & Pacific,0,Normal,No,No,,,,,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1992,7.611579744,35034.53266,10.72900009,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.579000473,,35316.53701,,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1993,7.138269086,36091.38898,10.8739996,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.72900009,9.579000473,35034.53266,35316.53701,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1994,7.281489364,37133.6484,9.718999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,10.8739996,10.72900009,36091.38898,35034.53266,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1995,7.608017846,38095.12953,8.468999863,Not a Crime,East Asia & Pacific,0,Normal,No,No,9.718999863,10.8739996,37133.6484,36091.38898,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1996,7.923019938,39056.18102,8.505999565,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.468999863,9.718999863,38095.12953,37133.6484,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1997,8.322263847,40153.61225,8.362000465,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.505999565,8.468999863,39056.18102,38095.12953,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1998,8.274192454,41555.94435,7.676000118,Not a Crime,East Asia & Pacific,0,Normal,No,No,8.362000465,8.505999565,40153.61225,39056.18102,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,1999,8.245242522,43168.29246,6.872000217,Not a Crime,East Asia & Pacific,0,Normal,No,No,7.676000118,8.362000465,41555.94435,40153.61225,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2000,8.095449684,44334.39293,6.282999992,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.872000217,7.676000118,43168.29246,41555.94435,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2001,7.671343225,44585.19852,6.742000103,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.282999992,6.872000217,44334.39293,43168.29246,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2002,7.605343947,45806.69447,6.368000031,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.742000103,6.282999992,44585.19852,44334.39293,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2003,7.536899091,46595.90092,5.928999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.368000031,6.742000103,45806.69447,44585.19852,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2004,6.907001209,47926.74866,5.394999981,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.928999901,6.368000031,46595.90092,45806.69447,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2005,6.462784042,48813.88776,5.032000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.394999981,5.928999901,47926.74866,46595.90092,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2006,6.618232353,49443.22553,4.782000065,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.032000065,5.394999981,48813.88776,47926.74866,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2007,7.33362489,51024.24113,4.376999855,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.782000065,5.032000065,49443.22553,48813.88776,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2008,7.27559284,51841.27303,4.234000206,Not a Crime,East Asia & Pacific,0,Normal,No,No,4.376999855,4.782000065,51024.24113,49443.22553,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2009,6.991173297,51767.37784,5.56099987,Not a Crime,East Asia & Pacific,347,Heat Wave,No,No,4.234000206,4.376999855,51841.27303,51024.24113,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2010,6.923502078,52022.1256,5.210999966,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.56099987,4.234000206,51767.37784,51841.27303,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2011,7.174488989,52567.77724,5.080999851,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.210999966,5.56099987,52022.1256,51767.37784,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2012,7.124955555,53682.04722,5.223999977,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.080999851,5.210999966,52567.77724,52022.1256,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2013,7.187818263,54129.93905,5.662000179,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.223999977,5.080999851,53682.04722,52567.77724,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2014,7.350586447,54679.42018,6.077000141,Not a Crime,East Asia & Pacific,139,Heat Wave,No,No,5.662000179,5.223999977,54129.93905,53682.04722,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2015,6.956999218,55079.89212,6.053999901,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.077000141,5.662000179,54679.42018,54129.93905,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2016,6.415715583,55728.68446,5.710000038,Not a Crime,East Asia & Pacific,0,Normal,No,No,6.053999901,6.077000141,55079.89212,54679.42018,High
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2017,6.577855178,56095.18632,5.59100008,Not a Crime,East Asia & Pacific,0,Normal,No,No,5.710000038,6.053999901,55728.68446,55079.89212,High
