Region/Country/Area,Year,Series,Value
Armenia,2019,"Percentage of male and female intentional homicide victims, Female",0.6
Armenia,2019,"Assault rate per 100,000 population",7.4
Armenia,2019,"Kidnapping at the national level, rate per 100,000",1.5
Armenia,2019,"Total Sexual Violence at the national level, rate per 100,000",3.7
Armenia,2021,"Intentional homicide rates per 100,000",2.2
Armenia,2021,"Percentage of male and female intentional homicide victims, Male",3.7
Armenia,2021,"Percentage of male and female intentional homicide victims, Female",0.9
Aruba,2005,"Intentional homicide rates per 100,000",6.4
Aruba,2005,"Percentage of male and female intentional homicide victims, Male",11.1
Aruba,2005,"Percentage of male and female intentional homicide victims, Female",2.0
Aruba,2010,"Intentional homicide rates per 100,000",4.0
Aruba,2010,"Percentage of male and female intentional homicide victims, Male",8.4
Aruba,2010,"Percentage of male and female intentional homicide victims, Female",0.0
Aruba,2014,"Intentional homicide rates per 100,000",1.9
Aruba,2014,"Percentage of male and female intentional homicide victims, Male",4.1
Aruba,2014,"Percentage of male and female intentional homicide victims, Female",0.0
Asia,2005,"Intentional homicide rates per 100,000",3.0
Asia,2005,"Percentage of male and female intentional homicide victims, Male",4.1
Asia,2005,"Percentage of male and female intentional homicide victims, Female",1.8
Asia,2010,"Intentional homicide rates per 100,000",2.7
Asia,2010,"Percentage of male and female intentional homicide victims, Male",3.6
Asia,2010,"Percentage of male and female intentional homicide victims, Female",1.7
Asia,2015,"Intentional homicide rates per 100,000",2.4
Asia,2015,"Percentage of male and female intentional homicide victims, Male",3.2
Asia,2015,"Percentage of male and female intentional homicide victims, Female",1.5
Asia,2022,"Intentional homicide rates per 100,000",2.0
Asia,2022,"Percentage of male and female intentional homicide victims, Male",2.6
Asia,2022,"Percentage of male and female intentional homicide victims, Female",1.4
Australia,2005,"Intentional homicide rates per 100,000",1.3
Australia,2005,"Percentage of male and female intentional homicide victims, Male",1.6
Australia,2005,"Percentage of male and female intentional homicide victims, Female",0.9
Australia,2005,"Theft at the national level, rate per 100,000 population","2,569.6"
Australia,2010,"Intentional homicide rates per 100,000",1.0
Australia,2010,"Percentage of male and female intentional homicide victims, Male",1.2
Australia,2010,"Percentage of male and female intentional homicide victims, Female",0.9
Australia,2010,"Assault rate per 100,000 population",311.8
Australia,2010,"Kidnapping at the national level, rate per 100,000",2.8
Australia,2010,"Theft at the national level, rate per 100,000 population","2,167.5"
Australia,2010,"Total Sexual Violence at the national level, rate per 100,000",85.7
Australia,2015,"Intentional homicide rates per 100,000",1.0
Australia,2015,"Percentage of male and female intentional homicide victims, Male",1.3
Australia,2015,"Percentage of male and female intentional homicide victims, Female",0.7
Australia,2015,"Assault rate per 100,000 population",285.5
Australia,2015,"Kidnapping at the national level, rate per 100,000",2.2
Australia,2015,"Theft at the national level, rate per 100,000 population","2,355.9"
Australia,2015,"Total Sexual Violence at the national level, rate per 100,000",92.1
Australia,2022,"Intentional homicide rates per 100,000",0.8
Australia,2022,"Percentage of male and female intentional homicide victims, Male",1.2
Australia,2022,"Percentage of male and female intentional homicide victims, Female",0.5
Australia,2022,"Assault rate per 100,000 population",288.9
Australia,2022,"Kidnapping at the national level, rate per 100,000",1.9
Australia,2022,"Theft at the national level, rate per 100,000 population","2,027.6"
Australia,2022,"Total Sexual Violence at the national level, rate per 100,000",122.8
Australia and New Zealand,2005,"Intentional homicide rates per 100,000",1.3
Australia and New Zealand,2005,"Percentage of male and female intentional homicide victims, Male",1.7
Australia and New Zealand,2005,"Percentage of male and female intentional homicide victims, Female",1.0
Australia and New Zealand,2010,"Intentional homicide rates per 100,000",1.0
Australia and New Zealand,2010,"Percentage of male and female intentional homicide victims, Male",1.2
Australia and New Zealand,2010,"Percentage of male and female intentional homicide victims, Female",0.9
Australia and New Zealand,2015,"Intentional homicide rates per 100,000",1.0
Australia and New Zealand,2015,"Percentage of male and female intentional homicide victims, Male",1.3
Australia and New Zealand,2015,"Percentage of male and female intentional homicide victims, Female",0.7
Australia and New Zealand,2022,"Intentional homicide rates per 100,000",0.9
Australia and New Zealand,2022,"Percentage of male and female intentional homicide victims, Male",1.2
Australia and New Zealand,2022,"Percentage of male and female intentional homicide victims, Female",0.5
Austria,2005,"Intentional homicide rates per 100,000",0.7
Austria,2005,"Percentage of male and female intentional homicide victims, Male",0.7
Austria,2005,"Percentage of male and female intentional homicide victims, Female",0.6
Austria,2005,"Assault rate per 100,000 population",43.9
Austria,2005,"Kidnapping at the national level, rate per 100,000",0.1
Austria,2005,"Theft at the national level, rate per 100,000 population","2,151.7"
Austria,2005,"Total Sexual Violence at the national level, rate per 100,000",20.3
Austria,2010,"Intentional homicide rates per 100,000",0.7
Austria,2010,"Percentage of male and female intentional homicide victims, Male",0.7
Austria,2010,"Percentage of male and female intentional homicide victims, Female",0.8
Austria,2010,"Assault rate per 100,000 population",43.1
Austria,2010,"Kidnapping at the national level, rate per 100,000",0.1
Austria,2010,"Theft at the national level, rate per 100,000 population","1,863.7"
Austria,2010,"Total Sexual Violence at the national level, rate per 100,000",39.5
Austria,2015,"Intentional homicide rates per 100,000",0.5
Austria,2015,"Percentage of male and female intentional homicide victims, Male",0.6
Austria,2015,"Percentage of male and female intentional homicide victims, Female",0.4
Austria,2015,"Assault rate per 100,000 population",40.0
Austria,2015,"Kidnapping at the national level, rate per 100,000",0.0
Austria,2015,"Theft at the national level, rate per 100,000 population","1,622.9"
Austria,2015,"Total Sexual Violence at the national level, rate per 100,000",40.3
Austria,2022,"Intentional homicide rates per 100,000",0.9
Austria,2022,"Percentage of male and female intentional homicide victims, Male",0.9
Austria,2022,"Percentage of male and female intentional homicide victims, Female",0.9
Austria,2022,"Assault rate per 100,000 population",48.4
Austria,2022,"Kidnapping at the national level, rate per 100,000",0.1
Austria,2022,"Theft at the national level, rate per 100,000 population","1,086.6"
Austria,2022,"Total Sexual Violence at the national level, rate per 100,000",55.6
Azerbaijan,2002,"Intentional homicide rates per 100,000",2.5
Azerbaijan,2005,"Assault rate per 100,000 population",1.9
Azerbaijan,2005,"Kidnapping at the national level, rate per 100,000",0.3
Azerbaijan,2005,"Theft at the national level, rate per 100,000 population",24.8
Azerbaijan,2010,"Intentional homicide rates per 100,000",2.2
Azerbaijan,2010,"Percentage of male and female intentional homicide victims, Male",3.2
Azerbaijan,2010,"Percentage of male and female intentional homicide victims, Female",1.3
Azerbaijan,2010,"Assault rate per 100,000 population",1.9
Azerbaijan,2010,"Kidnapping at the national level, rate per 100,000",0.0
Azerbaijan,2010,"Theft at the national level, rate per 100,000 population",41.9
Azerbaijan,2010,"Total Sexual Violence at the national level, rate per 100,000",2.2
Azerbaijan,2014,"Intentional homicide rates per 100,000",2.4
Azerbaijan,2014,"Percentage of male and female intentional homicide victims, Male",3.1
Azerbaijan,2014,"Percentage of male and female intentional homicide victims, Female",1.8
Azerbaijan,2014,"Assault rate per 100,000 population",1.6
Azerbaijan,2014,"Kidnapping at the national level, rate per 100,000",0.0
Azerbaijan,2014,"Theft at the national level, rate per 100,000 population",60.2
Azerbaijan,2014,"Total Sexual Violence at the national level, rate per 100,000",2.2
Azerbaijan,2015,"Intentional homicide rates per 100,000",2.1
Azerbaijan,2015,"Percentage of male and female intentional homicide victims, Male",2.9
Azerbaijan,2015,"Percentage of male and female intentional homicide victims, Female",1.4
Azerbaijan,2020,"Intentional homicide rates per 100,000",2.2
Azerbaijan,2020,"Percentage of male and female intentional homicide victims, Male",3.0
Azerbaijan,2020,"Percentage of male and female intentional homicide victims, Female",1.5
Azerbaijan,2020,"Assault rate per 100,000 population",3.1
Azerbaijan,2020,"Kidnapping at the national level, rate per 100,000",0.0
Azerbaijan,2020,"Theft at the national level, rate per 100,000 population",18.3
Azerbaijan,2020,"Total Sexual Violence at the national level, rate per 100,000",0.6
Azerbaijan,2021,"Intentional homicide rates per 100,000",1.9
Azerbaijan,2021,"Percentage of male and female intentional homicide victims, Male",2.5
Azerbaijan,2021,"Percentage of male and female intentional homicide victims, Female",1.3
Azerbaijan,2021,"Assault rate per 100,000 population",3.2
Azerbaijan,2021,"Kidnapping at the national level, rate per 100,000",0.1
Azerbaijan,2021,"Total Sexual Violence at the national level, rate per 100,000",0.7
Azerbaijan,2022,"Intentional homicide rates per 100,000",2.4
Bahamas,2005,"Intentional homicide rates per 100,000",15.0
Bahamas,2005,"Percentage of male and female intentional homicide victims, Male",26.0
Bahamas,2005,"Percentage of male and female intentional homicide victims, Female",4.5
Bahamas,2005,"Kidnapping at the national level, rate per 100,000",6.9
Bahamas,2005,"Theft at the national level, rate per 100,000 population",416.9
Bahamas,2005,"Total Sexual Violence at the national level, rate per 100,000",126.2
Bahamas,2010,"Intentional homicide rates per 100,000",25.2
Bahamas,2010,"Percentage of male and female intentional homicide victims, Male",44.9
Bahamas,2010,"Percentage of male and female intentional homicide victims, Female",6.7
Bahamas,2010,"Assault rate per 100,000 population",820.6
Bahamas,2010,"Kidnapping at the national level, rate per 100,000",4.8
Bahamas,2010,"Theft at the national level, rate per 100,000 population",527.5
Bahamas,2010,"Total Sexual Violence at the national level, rate per 100,000",82.8
Bahamas,2012,"Intentional homicide rates per 100,000",28.8
Bahamas,2012,"Percentage of male and female intentional homicide victims, Male",54.3
Bahamas,2012,"Percentage of male and female intentional homicide victims, Female",5.1
Bahamas,2012,"Assault rate per 100,000 population",819.8
Bahamas,2012,"Kidnapping at the national level, rate per 100,000",7.3
Bahamas,2012,"Theft at the national level, rate per 100,000 population",519.6
Bahamas,2012,"Total Sexual Violence at the national level, rate per 100,000",78.3
Bahamas,2015,"Intentional homicide rates per 100,000",37.2
Bahamas,2015,"Percentage of male and female intentional homicide victims, Male",68.8
Bahamas,2015,"Percentage of male and female intentional homicide victims, Female",7.8
Bahamas,2015,"Assault rate per 100,000 population","1,161.7"
Bahamas,2015,"Kidnapping at the national level, rate per 100,000",5.1
Bahamas,2015,"Total Sexual Violence at the national level, rate per 100,000",76.9
Bahamas,2022,"Intentional homicide rates per 100,000",31.2
Bahamas,2022,"Percentage of male and female intentional homicide victims, Male",60.3
Bahamas,2022,"Percentage of male and female intentional homicide victims, Female",4.7
Bahamas,2022,"Assault rate per 100,000 population",878.6
Bahamas,2022,"Kidnapping at the national level, rate per 100,000",1.7
Bahamas,2022,"Theft at the national level, rate per 100,000 population",433.7
Bahamas,2022,"Total Sexual Violence at the national level, rate per 100,000",49.8
Bahrain,2002,"Intentional homicide rates per 100,000",1.1
Bahrain,2005,"Assault rate per 100,000 population",391.2
Bahrain,2005,"Kidnapping at the national level, rate per 100,000",1.3
Bahrain,2005,"Theft at the national level, rate per 100,000 population","1,070.9"
Bahrain,2007,"Intentional homicide rates per 100,000",0.4
Bahrain,2007,"Assault rate per 100,000 population",253.1
Bahrain,2007,"Kidnapping at the national level, rate per 100,000",0.0
Bahrain,2007,"Theft at the national level, rate per 100,000 population",697.3
Bahrain,2007,"Total Sexual Violence at the national level, rate per 100,000",13.9
Bahrain,2008,"Intentional homicide rates per 100,000",0.5
Bahrain,2008,"Assault rate per 100,000 population",329.1
Bahrain,2008,"Theft at the national level, rate per 100,000 population",684.3
Bahrain,2008,"Total Sexual Violence at the national level, rate per 100,000",15.8
Bahrain,2010,"Intentional homicide rates per 100,000",0.2
Bahrain,2010,"Percentage of male and female intentional homicide victims, Male",0.1
Bahrain,2010,"Percentage of male and female intentional homicide victims, Female",0.2
Bahrain,2015,"Intentional homicide rates per 100,000",0.2
Bahrain,2015,"Percentage of male and female intentional homicide victims, Male",0.4
Bahrain,2015,"Percentage of male and female intentional homicide victims, Female",0.0
Bahrain,2021,"Intentional homicide rates per 100,000",0.1
Bahrain,2021,"Percentage of male and female intentional homicide victims, Male",0.0
Bahrain,2021,"Percentage of male and female intentional homicide victims, Female",0.2
Bangladesh,2005,"Intentional homicide rates per 100,000",2.5
Bangladesh,2005,"Assault rate per 100,000 population",0.4
Bangladesh,2005,"Kidnapping at the national level, rate per 100,000",0.9
Bangladesh,2005,"Theft at the national level, rate per 100,000 population",8.9
Bangladesh,2006,"Intentional homicide rates per 100,000",2.9
Bangladesh,2006,"Assault rate per 100,000 population",0.4
Bangladesh,2006,"Kidnapping at the national level, rate per 100,000",0.8
Bangladesh,2006,"Theft at the national level, rate per 100,000 population",9.1
Bangladesh,2010,"Intentional homicide rates per 100,000",2.7
Bangladesh,2015,"Intentional homicide rates per 100,000",2.6
Bangladesh,2018,"Intentional homicide rates per 100,000",2.3
Barbados,2005,"Intentional homicide rates per 100,000",10.8
Barbados,2005,"Percentage of male and female intentional homicide victims, Male",15.4
Barbados,2005,"Percentage of male and female intentional homicide victims, Female",6.5
Barbados,2005,"Assault rate per 100,000 population",642.4
Barbados,2005,"Kidnapping at the national level, rate per 100,000",8.5
Barbados,2005,"Theft at the national level, rate per 100,000 population",419.3
Barbados,2005,"Total Sexual Violence at the national level, rate per 100,000",71.2
Barbados,2010,"Intentional homicide rates per 100,000",11.3
Barbados,2010,"Percentage of male and female intentional homicide victims, Male",17.6
Barbados,2010,"Percentage of male and female intentional homicide victims, Female",5.6
Barbados,2010,"Assault rate per 100,000 population",550.0
Barbados,2010,"Kidnapping at the national level, rate per 100,000",4.4
Barbados,2010,"Theft at the national level, rate per 100,000 population",752.4
Barbados,2010,"Total Sexual Violence at the national level, rate per 100,000",61.5
Barbados,2015,"Intentional homicide rates per 100,000",11.1
Barbados,2015,"Percentage of male and female intentional homicide victims, Male",21.1
Barbados,2015,"Percentage of male and female intentional homicide victims, Female",2.1
Barbados,2015,"Assault rate per 100,000 population",530.1
Barbados,2015,"Kidnapping at the national level, rate per 100,000",5.0
Barbados,2015,"Theft at the national level, rate per 100,000 population",609.2
Barbados,2015,"Total Sexual Violence at the national level, rate per 100,000",69.8
Barbados,2022,"Intentional homicide rates per 100,000",15.3
Barbados,2022,"Percentage of male and female intentional homicide victims, Male",30.4
Barbados,2022,"Percentage of male and female intentional homicide victims, Female",1.4
Barbados,2022,"Assault rate per 100,000 population",326.3
Barbados,2022,"Kidnapping at the national level, rate per 100,000",2.1
Barbados,2022,"Theft at the national level, rate per 100,000 population",399.8
Barbados,2022,"Total Sexual Violence at the national level, rate per 100,000",44.4
Belarus,2002,"Intentional homicide rates per 100,000",9.8
Belarus,2005,"Assault rate per 100,000 population",19.3
Belarus,2005,"Kidnapping at the national level, rate per 100,000",0.4
Belarus,2005,"Theft at the national level, rate per 100,000 population","1,038.7"
Belarus,2005,"Total Sexual Violence at the national level, rate per 100,000",8.2
Belarus,2010,"Intentional homicide rates per 100,000",4.1
Belarus,2010,"Percentage of male and female intentional homicide victims, Male",5.9
Belarus,2010,"Percentage of male and female intentional homicide victims, Female",2.6
Belarus,2010,"Assault rate per 100,000 population",11.9
Belarus,2010,"Kidnapping at the national level, rate per 100,000",0.2
Belarus,2010,"Theft at the national level, rate per 100,000 population",756.2
Belarus,2010,"Total Sexual Violence at the national level, rate per 100,000",3.8
Belarus,2014,"Intentional homicide rates per 100,000",3.5
Belarus,2014,"Percentage of male and female intentional homicide victims, Male",5.0
Belarus,2014,"Percentage of male and female intentional homicide victims, Female",2.2
Belarus,2014,"Assault rate per 100,000 population",8.6
Belarus,2014,"Kidnapping at the national level, rate per 100,000",0.3
Belarus,2014,"Theft at the national level, rate per 100,000 population",418.1
Belarus,2014,"Total Sexual Violence at the national level, rate per 100,000",4.7
Belarus,2015,"Intentional homicide rates per 100,000",3.4
Belarus,2015,"Percentage of male and female intentional homicide victims, Male",4.7
Belarus,2015,"Percentage of male and female intentional homicide victims, Female",2.2
Belarus,2015,"Assault rate per 100,000 population",8.7
Belarus,2015,"Kidnapping at the national level, rate per 100,000",0.3
Belarus,2015,"Total Sexual Violence at the national level, rate per 100,000",5.5
Belarus,2019,"Intentional homicide rates per 100,000",2.3
Belarus,2019,"Percentage of male and female intentional homicide victims, Male",3.1
Belarus,2019,"Percentage of male and female intentional homicide victims, Female",1.7
Belarus,2019,"Assault rate per 100,000 population",7.4
Belarus,2019,"Kidnapping at the national level, rate per 100,000",0.1
